,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
181,0.005,robust,6,2.0321562830306275,0.0,295.34694786608287
182,0.005,risky_0.1,6,1.1232676629120586,0.0,638.2340030691716
183,0.005,risky_0.0,6,1.131433797412471,0.0,639.7223068427393
184,0.005,risky_1.0,6,1.1007207444582536,0.0,652.5929489382332
185,0.005,simple,7,1.1234484240779674,0.0,634.5301210964569
186,0.005,robust,7,2.0352940601306697,0.0,295.3148449526459
187,0.005,risky_0.1,7,1.1087665207821351,0.0,642.7711860394966
188,0.005,risky_0.0,7,1.1201435292720083,0.0,636.6979873228202
189,0.005,risky_1.0,7,1.105537396934547,0.0,645.9985808801767
190,0.005,simple,8,1.1294020417126074,0.0,630.9557294262902
191,0.005,robust,8,2.031432392345076,0.0,294.38555829333853
192,0.005,risky_0.1,8,1.118854903581845,0.0,639.0619782248164
193,0.005,risky_0.0,8,1.128536153153463,0.0,630.9375167812935
194,0.005,risky_1.0,8,1.1133828167831574,0.0,642.8715588984679
195,0.005,simple,9,1.1156628817047531,0.0,639.2721843926579
196,0.005,robust,9,2.0180745004159917,0.0,294.10544581557383
197,0.005,risky_0.1,9,1.1114309065247587,0.0,642.5956505572057
198,0.005,risky_0.0,9,1.1112689671200469,0.0,639.7532132395767
199,0.005,risky_1.0,9,1.0929099881358186,0.0,653.9126022141241
200,0.001,simple,0,1.1579883427757534,0.0,612.9663328265846
201,0.001,robust,0,1.8797374052324225,0.0,324.4181956289949
202,0.001,risky_0.1,0,1.1402801639954248,0.0,619.445558395122
203,0.001,risky_0.0,0,1.1602827033706165,0.0,614.8500379179798
204,0.001,risky_1.0,0,1.1515584480136374,0.0,618.854671549246
205,0.001,simple,1,1.144045839873646,0.0,613.994268057985
206,0.001,robust,1,1.8689211627508329,0.0,324.09264116627145
207,0.001,risky_0.1,1,1.1405948894168434,0.0,617.9488181908791
208,0.001,risky_0.0,1,1.1410406110435405,0.0,615.8014946264503
209,0.001,risky_1.0,1,1.151865910903413,0.0,614.1001322770443
210,0.001,simple,2,1.153789225835095,0.0,612.1723794840881
211,0.001,robust,2,1.8705886351903265,0.0,324.4698787019748
212,0.001,risky_0.1,2,1.14489933382607,0.0,617.7556613263399
213,0.001,risky_0.0,2,1.1531341097191357,0.0,611.8446995458083
214,0.001,risky_1.0,2,1.126684907423608,0.0,624.8484078713486
215,0.001,simple,3,1.1455366316328395,0.0,610.4687265528055
216,0.001,robust,3,1.8670935026837883,0.0,324.6614972983066
217,0.001,risky_0.1,3,1.1393908364670235,0.0,617.0741059380547
218,0.001,risky_0.0,3,1.147469282702812,0.0,614.4316604307838
219,0.001,risky_1.0,3,1.1403003975330837,0.0,616.2638113445254
220,0.001,simple,4,1.1473599646177892,0.0,613.6158827080338
221,0.001,robust,4,1.8776580167225092,0.0,324.5503827842957
